date,game,value,market,type
09-14,Awesome game,420866,All,revenue
08-14,Awesome game,167251,All,revenue
07-14,Awesome game,742378,All,revenue
06-14,Awesome game,970945,All,revenue
05-14,Awesome game,807559,All,revenue
04-14,Awesome game,948812,All,revenue
02-15,Awesome game,232387,iOS,revenue
01-15,Awesome game,170004,iOS,revenue
12-14,Awesome game,204189,iOS,revenue
11-14,Awesome game,203556,iOS,revenue
10-14,Awesome game,289004,iOS,revenue
09-14,Awesome game,314095,iOS,revenue
08-14,Awesome game,40835,iOS,revenue
07-14,Awesome game,579726,iOS,revenue
06-14,Awesome game,779571,iOS,revenue
05-14,Awesome game,807559,iOS,revenue
04-14,Awesome game,948812,iOS,revenue
02-15,Awesome game,86925,Google Play,revenue
01-15,Awesome game,94706,Google Play,revenue
12-14,Awesome game,72180,Google Play,revenue
11-14,Awesome game,93256,Google Play,revenue
10-14,Awesome game,114737,Google Play,revenue
09-14,Awesome game,106771,Google Play,revenue
08-14,Awesome game,126416,Google Play,revenue
07-14,Awesome game,162652,Google Play,revenue
06-14,Awesome game,191374,Google Play,revenue
02-15,Wonderful game,2297073,All,revenue
01-15,Wonderful game,3621104,All,revenue
12-14,Wonderful game,3261795,All,revenue
11-14,Wonderful game,2807542,All,revenue
10-14,Wonderful game,2490475,All,revenue
09-14,Wonderful game,3057674,All,revenue
08-14,Wonderful game,3971049,All,revenue
07-14,Wonderful game,2952786,All,revenue
06-14,Wonderful game,4071073,All,revenue
05-14,Wonderful game,3417356,All,revenue
04-14,Wonderful game,3298997,All,revenue
03-14,Wonderful game,3320555,All,revenue
02-14,Wonderful game,2384324,All,revenue
01-14,Wonderful game,2966393,All,revenue
12-13,Wonderful game,3449419,All,revenue
11-13,Wonderful game,3116556,All,revenue
10-13,Wonderful game,3184174,All,revenue
09-13,Wonderful game,9675383,All,revenue
08-13,Wonderful game,3533671,All,revenue
07-13,Wonderful game,3150570,All,revenue
06-13,Wonderful game,3280997,All,revenue
05-13,Wonderful game,3980661,All,revenue
04-13,Wonderful game,4452659,All,revenue
02-15,Wonderful game,1428641,iOS,revenue
01-15,Wonderful game,2290016,iOS,revenue
12-14,Wonderful game,2188957,iOS,revenue
11-14,Wonderful game,1836353,iOS,revenue
10-14,Wonderful game,1586910,iOS,revenue
09-14,Wonderful game,1984962,iOS,revenue
08-14,Wonderful game,2704370,iOS,revenue
07-14,Wonderful game,2083212,iOS,revenue
06-14,Wonderful game,2923727,iOS,revenue
05-14,Wonderful game,2502228,iOS,revenue
04-14,Wonderful game,2406542,iOS,revenue
03-14,Wonderful game,2506815,iOS,revenue
02-14,Wonderful game,1801305,iOS,revenue
01-14,Wonderful game,2312349,iOS,revenue
12-13,Wonderful game,2665149,iOS,revenue
11-13,Wonderful game,2458009,iOS,revenue
10-13,Wonderful game,2509624,iOS,revenue
09-13,Wonderful game,2992853,iOS,revenue
08-13,Wonderful game,2908254,iOS,revenue
07-13,Wonderful game,2619677,iOS,revenue
06-13,Wonderful game,2722530,iOS,revenue
05-13,Wonderful game,3356842,iOS,revenue
04-13,Wonderful game,3634007,iOS,revenue
02-15,Wonderful game,868432,Google Play,revenue
01-15,Wonderful game,1331088,Google Play,revenue
12-14,Wonderful game,1072838,Google Play,revenue
11-14,Wonderful game,971189,Google Play,revenue
10-14,Wonderful game,903565,Google Play,revenue
09-14,Wonderful game,1072712,Google Play,revenue
08-14,Wonderful game,1266679,Google Play,revenue
07-14,Wonderful game,869574,Google Play,revenue
06-14,Wonderful game,1147346,Google Play,revenue
05-14,Wonderful game,915128,Google Play,revenue
04-14,Wonderful game,892455,Google Play,revenue
03-14,Wonderful game,813740,Google Play,revenue
02-14,Wonderful game,583019,Google Play,revenue
01-14,Wonderful game,654044,Google Play,revenue
12-13,Wonderful game,784270,Google Play,revenue
11-13,Wonderful game,658547,Google Play,revenue
10-13,Wonderful game,674550,Google Play,revenue
09-13,Wonderful game,6682530,Google Play,revenue
08-13,Wonderful game,625417,Google Play,revenue
07-13,Wonderful game,530893,Google Play,revenue
06-13,Wonderful game,558467,Google Play,revenue
05-13,Wonderful game,623819,Google Play,revenue
04-13,Wonderful game,818652,Google Play,revenue
