Retailer name,value,GLA,Lease end,group,breakdown,Branch level 2
Autriche,9614,225,30/06/17,group,Visites,Europe
UK,9940,285,31/08/18,group,Visites,Europe
Suisse,2103,68,31/07/18,group,Visites,Europe
Suède,33746,270,30/09/14,group,Visites,Europe
USA,1102,31,30/06/19,group,Visites,Amérique du Nord
Canada,4438,56,21/05/22,group,Visites,Amérique du Nord
Mexique,43802,2069,14/06/21,group,Visites,Amérique du Nord
Costa Rica,49094,116,04/03/22,group,Visites,Amérique du Nord
Chine,108361,227,30/06/21,group,Visites,Asie
Japon,58956,225,31/12/21,group,Visites,Asie
Corée du Sud,87767,380,09/03/23,group,Visites,Asie
Malaysie,5532,129,20/10/23,group,Visites,Asie
Inde,44834,252,31/05/18,group,Visites,Asie
Thaïlande,43081,1263,05/06/18,group,Visites,Asie
Birmanie,72194,287,31/12/17,group,Visites,Asie
Boutan,31092,1313,15/05/21,group,Visites,Asie
Mongolie,15162,59,16/02/20,group,Visites,Asie
Brésil,76345,423,31/12/23,group,Visites,Amérique du Sud
Argentine,25071,235,28/02/19,group,Visites,Amérique du Sud
Bolivie,6627,62,18/08/21,group,Visites,Amérique du Sud
Peru,10669,132,14/10/19,group,Visites,Amérique du Sud
Chili,60120,221,31/12/14,group,Visites,Amérique du Sud
Uruguay,2941,38,31/12/17,group,Visites,Amérique du Sud
Paraguay,9994,62,30/09/18,group,Visites,Amérique du Sud
Afrique du Sud,32978,256,19/03/18,group,Visites,Afrique
Togo,78347,309,28/02/24,group,Visites,Afrique
Maroc,145443,2296,31/12/22,group,Visites,Afrique
France,838953,222,29/01/21,group,Traffic,Europe
Allemagne,575705,592,26/10/19,group,Traffic,Europe
Autriche,804819,225,30/06/17,group,Traffic,Europe
UK,648652,285,31/08/18,group,Traffic,Europe
Suisse,115383,68,31/07/18,group,Traffic,Europe
Suède,487643,270,30/09/14,group,Traffic,Europe
USA,124229,31,30/06/19,group,Traffic,Amérique du Nord
Canada,220244,56,21/05/22,group,Traffic,Amérique du Nord
Mexique,670774,2069,14/06/21,group,Traffic,Amérique du Nord
Costa Rica,228997,116,04/03/22,group,Traffic,Amérique du Nord
Chine,512442,227,30/06/21,group,Traffic,Asie
Japon,488287,225,31/12/21,group,Traffic,Asie
Corée du Sud,657738,380,09/03/23,group,Traffic,Asie
Malaysie,410856,129,20/10/23,group,Traffic,Asie
Inde,561304,252,31/05/18,group,Traffic,Asie
Thaïlande,493013,1263,05/06/18,group,Traffic,Asie
Birmanie,456311,287,31/12/17,group,Traffic,Asie
Boutan,515166,1313,15/05/21,group,Traffic,Asie
Mongolie,439046,59,16/02/20,group,Traffic,Asie
Brésil,556920,423,31/12/23,group,Traffic,Amérique du Sud
Argentine,265296,235,28/02/19,group,Traffic,Amérique du Sud
Bolivie,295837,62,18/08/21,group,Traffic,Amérique du Sud
Peru,394134,132,14/10/19,group,Traffic,Amérique du Sud
Chili,483779,221,31/12/14,group,Traffic,Amérique du Sud
Uruguay,322545,38,31/12/17,group,Traffic,Amérique du Sud
Paraguay,414751,62,30/09/18,group,Traffic,Amérique du Sud
Afrique du Sud,526084,256,19/03/18,group,Traffic,Afrique
Togo,476966,309,28/02/24,group,Traffic,Afrique
Maroc,736342,2296,31/12/22,group,Traffic,Afrique
France,1.4,222,29/01/21,group,Conversion,Europe
Allemagne,4.3,592,26/10/19,group,Conversion,Europe
Autriche,1.2,225,30/06/17,group,Conversion,Europe
UK,1.5,285,31/08/18,group,Conversion,Europe
Suisse,1.8,68,31/07/18,group,Conversion,Europe
Suède,6.9,270,30/09/14,group,Conversion,Europe
USA,0.9,31,30/06/19,group,Conversion,Amérique du Nord
Canada,2,56,21/05/22,group,Conversion,Amérique du Nord
Mexique,6.5,2069,14/06/21,group,Conversion,Amérique du Nord
Costa Rica,21.4,116,04/03/22,group,Conversion,Amérique du Nord
Chine,21.1,227,30/06/21,group,Conversion,Asie
Japon,12.1,225,31/12/21,group,Conversion,Asie
Corée du Sud,13.3,380,09/03/23,group,Conversion,Asie
Malaysie,1.3,129,20/10/23,group,Conversion,Asie
Inde,8,252,31/05/18,group,Conversion,Asie
Thaïlande,8.7,1263,05/06/18,group,Conversion,Asie
Birmanie,15.8,287,31/12/17,group,Conversion,Asie
Boutan,6,1313,15/05/21,group,Conversion,Asie
Mongolie,3.5,59,16/02/20,group,Conversion,Asie
Brésil,13.7,423,31/12/23,group,Conversion,Amérique du Sud
Argentine,9.5,235,28/02/19,group,Conversion,Amérique du Sud
Bolivie,2.2,62,18/08/21,group,Conversion,Amérique du Sud
Peru,2.7,132,14/10/19,group,Conversion,Amérique du Sud
Chili,12.4,221,31/12/14,group,Conversion,Amérique du Sud
Uruguay,0.9,38,31/12/17,group,Conversion,Amérique du Sud
Paraguay,2.4,62,30/09/18,group,Conversion,Amérique du Sud
Afrique du Sud,6.3,256,19/03/18,group,Conversion,Afrique
Togo,16.4,309,28/02/24,group,Conversion,Afrique
Maroc,19.8,2296,31/12/22,group,Conversion,Afrique
