,Unnamed: 0,Country Name,Country Code,Year,Value,kpi
33,1627,Afghanistan,AFG,2014,20.841951232,GDP
34,1658,Albania,ALB,2014,13.370191506,GDP
35,1713,Algeria,DZA,2014,214.063173188,GDP
36,1757,Andorra,AND,2013,3.24910067484,GDP
37,1787,Angola,AGO,2014,131.400635026,GDP
38,1825,Antigua and Barbuda,ATG,2014,1.26911703704,GDP
39,1878,Argentina,ARG,2014,540.197457444,GDP
40,1903,Armenia,ARM,2014,10.8816050594,GDP
41,1921,Aruba,ABW,2011,2.58446368715,GDP
42,1976,Australia,AUS,2014,1453.77021067,GDP
43,2031,Austria,AUT,2014,436.343622435,GDP
44,2056,Azerbaijan,AZE,2014,75.1980109652,GDP
45,2111,"Bahamas, The",BHS,2014,8.5105,GDP
46,2146,Bahrain,BHR,2014,33.8689893617,GDP
47,2201,Bangladesh,BGD,2014,173.818932216,GDP
48,2256,Barbados,BRB,2014,4.348,GDP
49,2281,Belarus,BLR,2014,76.1392503645,GDP
50,2336,Belgium,BEL,2014,533.382785676,GDP
51,2390,Belize,BLZ,2013,1.62429425,GDP
52,2445,Benin,BEN,2014,8.7469927335,GDP
53,2499,Bermuda,BMU,2013,5.57371,GDP
54,2534,Bhutan,BTN,2014,1.82141287284,GDP
55,2589,Bolivia,BOL,2014,34.1758321274,GDP
56,2610,Bosnia and Herzegovina,BIH,2014,18.3442782526,GDP
57,2665,Botswana,BWA,2014,15.8133710632,GDP
58,2720,Brazil,BRA,2014,2346.11817519,GDP
59,2770,Brunei Darussalam,BRN,2014,17.2567542692,GDP
60,2805,Bulgaria,BGR,2014,55.7346764347,GDP
61,2860,Burkina Faso,BFA,2014,12.5429692752,GDP
62,2915,Burundi,BDI,2014,3.09364729348,GDP
63,2950,Cabo Verde,CPV,2014,1.8711873335,GDP
64,2987,Cambodia,KHM,2014,16.7094324027,GDP
65,3042,Cameroon,CMR,2014,32.5485912859,GDP
66,3097,Canada,CAN,2014,1786.65506451,GDP
67,3099,Cayman Islands,CYM,2006,3.20703251294,GDP
68,3154,Central African Republic,CAF,2014,1.78292790267,GDP
69,3209,Chad,TCD,2014,13.9222245608,GDP
70,3219,Channel Islands,CHI,2007,11.5146058423,GDP
71,3274,Chile,CHL,2014,258.061522887,GDP
72,3329,China,CHN,2014,10360.1052479,GDP
73,3384,Colombia,COL,2014,377.739622866,GDP
74,3419,Comoros,COM,2014,0.647720102468,GDP
75,3471,"Congo, Dem. Rep.",COD,2014,32.9622611557,GDP
76,3526,"Congo, Rep.",COG,2014,14.1354625558,GDP
77,3581,Costa Rica,CRI,2014,49.5525806831,GDP
78,3636,Cote d'Ivoire,CIV,2014,34.2536110983,GDP
79,3656,Croatia,HRV,2014,57.2225740232,GDP
80,3700,Cuba,CUB,2013,77.1497,GDP
81,3740,Cyprus,CYP,2014,23.2261589862,GDP
82,3765,Czech Republic,CZE,2014,205.522871251,GDP
83,3820,Denmark,DNK,2014,341.95160773,GDP
84,3849,Djibouti,DJI,2014,1.58151970553,GDP
85,3887,Dominica,DMA,2014,0.537777777778,GDP
86,3942,Dominican Republic,DOM,2014,63.9689615631,GDP
87,3997,Ecuador,ECU,2014,100.543173,GDP
88,4047,"Egypt, Arab Rep.",EGY,2014,286.538047766,GDP
89,4097,El Salvador,SLV,2014,25.22,GDP
90,4148,Equatorial Guinea,GNQ,2014,14.3080942247,GDP
91,4171,Eritrea,ERI,2014,3.85782113821,GDP
92,4191,Estonia,EST,2014,25.9048743123,GDP
93,4225,Ethiopia,ETH,2014,54.7976796575,GDP
94,4241,Faeroe Islands,FRO,2013,2.6134589407,GDP
95,4296,Fiji,FJI,2014,4.02998972883,GDP
96,4351,Finland,FIN,2014,270.673584162,GDP
97,4406,France,FRA,2014,2829.19203917,GDP
98,4442,French Polynesia,PYF,2000,3.44754313794,GDP
99,4497,Gabon,GAB,2014,17.2284433364,GDP
100,4546,"Gambia, The",GMB,2014,0.807069488192,GDP
101,4571,Georgia,GEO,2014,16.5299631874,GDP
102,4616,Germany,DEU,2014,3852.55616966,GDP
103,4671,Ghana,GHA,2014,38.6481541004,GDP
104,4726,Greece,GRC,2014,237.592274371,GDP
105,4766,Greenland,GRL,2009,1.26771181612,GDP
106,4804,Grenada,GRD,2014,0.882222222222,GDP
107,4859,Guatemala,GTM,2014,58.7282323272,GDP
108,4888,Guinea,GIN,2014,6.62406803699,GDP
109,4933,Guinea-Bissau,GNB,2014,1.02237199153,GDP
110,4988,Guyana,GUY,2014,3.22837288786,GDP
111,5012,Haiti,HTI,2014,8.71303126019,GDP
112,5067,Honduras,HND,2014,19.3853099858,GDP
113,5122,"Hong Kong SAR, China",HKG,2014,290.896409544,GDP
114,5146,Hungary,HUN,2014,137.103927313,GDP
115,5201,Iceland,ISL,2014,17.0710044992,GDP
116,5256,India,IND,2014,2066.90239733,GDP
117,5304,Indonesia,IDN,2014,888.538201025,GDP
118,5352,"Iran, Islamic Rep.",IRN,2014,415.338504536,GDP
119,5391,Iraq,IRQ,2014,220.505682865,GDP
120,5446,Ireland,IRL,2014,245.920712756,GDP
121,5459,Isle of Man,IMN,2007,4.06236714766,GDP
122,5514,Israel,ISR,2014,304.22633627,GDP
123,5569,Italy,ITA,2014,2144.33818506,GDP
124,5623,Jamaica,JAM,2013,14.3622625849,GDP
125,5678,Japan,JPN,2014,4601.46120689,GDP
126,5728,Jordan,JOR,2014,35.8269257746,GDP
127,5753,Kazakhstan,KAZ,2014,212.247913268,GDP
128,5808,Kenya,KEN,2014,60.936509778,GDP
129,5853,Kiribati,KIR,2014,0.166762323639,GDP
130,5908,"Korea, Rep.",KOR,2014,1410.38294397,GDP
131,5923,Kosovo,,2014,7.27384901154,GDP
132,5972,Kuwait,KWT,2013,175.826716256,GDP
133,5997,Kyrgyz Republic,KGZ,2014,7.40441271031,GDP
134,6028,Lao PDR,LAO,2014,11.7717257976,GDP
135,6048,Latvia,LVA,2014,31.9208156483,GDP
136,6075,Lebanon,LBN,2014,45.7309452736,GDP
137,6130,Lesotho,LSO,2014,2.08802162411,GDP
138,6185,Liberia,LBR,2014,2.02693959532,GDP
139,6210,Libya,LBY,2014,41.119144923,GDP
140,6253,Liechtenstein,LIE,2012,5.48777345244,GDP
141,6264,Lithuania,LTU,2014,48.1722425173,GDP
142,6318,Luxembourg,LUX,2013,60.1308476236,GDP
143,6351,"Macao SAR, China",MAC,2014,55.5015325281,GDP
144,6376,"Macedonia, FYR",MKD,2014,11.3237616235,GDP
145,6431,Madagascar,MDG,2014,10.5931475269,GDP
146,6486,Malawi,MWI,2014,4.2580336153,GDP
147,6541,Malaysia,MYS,2014,326.933043801,GDP
148,6576,Maldives,MDV,2014,3.03223947812,GDP
149,6624,Mali,MLI,2014,12.0744730018,GDP
150,6668,Malta,MLT,2013,9.64284865012,GDP
151,6701,Marshall Islands,MHL,2013,0.1909146,GDP
152,6756,Mauritania,MRT,2014,5.06118037105,GDP
153,6795,Mauritius,MUS,2014,12.6164210884,GDP
154,6850,Mexico,MEX,2014,1282.71995486,GDP
155,6879,"Micronesia, Fed. Sts.",FSM,2013,0.3162457,GDP
156,6904,Moldova,MDA,2014,7.94418492975,GDP
157,6946,Monaco,MCO,2011,6.07488438859,GDP
158,6980,Mongolia,MNG,2014,12.0159443365,GDP
159,6995,Montenegro,MNE,2014,4.5831988855,GDP
160,7050,Morocco,MAR,2014,107.004984357,GDP
161,7085,Mozambique,MOZ,2014,16.385584919,GDP
162,7088,Myanmar,MMR,2014,64.3300386647,GDP
163,7123,Namibia,NAM,2014,13.4295032849,GDP
164,7178,Nepal,NPL,2014,19.6361864693,GDP
165,7233,Netherlands,NLD,2014,869.50812548,GDP
166,7269,New Caledonia,NCL,2000,2.68234706436,GDP
167,7322,New Zealand,NZL,2013,188.384859627,GDP
168,7377,Nicaragua,NIC,2014,11.8056412868,GDP
169,7432,Niger,NER,2014,8.16869586987,GDP
170,7487,Nigeria,NGA,2014,568.508262378,GDP
171,7542,Norway,NOR,2014,500.103094419,GDP
172,7597,Oman,OMN,2014,81.7966189857,GDP
173,7652,Pakistan,PAK,2014,246.876324189,GDP
174,7677,Palau,PLW,2014,0.250625562794,GDP
175,7732,Panama,PAN,2014,46.2126,GDP
176,7786,Papua New Guinea,PNG,2013,15.4131636749,GDP
177,7836,Paraguay,PRY,2014,30.9847478633,GDP
178,7891,Peru,PER,2014,202.902760293,GDP
179,7946,Philippines,PHL,2014,284.582023121,GDP
180,7971,Poland,POL,2014,548.003360279,GDP
181,8026,Portugal,PRT,2014,229.58371149,GDP
182,8080,Puerto Rico,PRI,2013,103.134778,GDP
183,8125,Qatar,QAT,2014,211.816758242,GDP
184,8153,Romania,ROU,2014,199.043652215,GDP
185,8179,Russian Federation,RUS,2014,1860.59792276,GDP
186,8234,Rwanda,RWA,2014,7.89019033675,GDP
187,8267,Samoa,WSM,2014,0.800586671241,GDP
188,8277,San Marino,SMR,2008,1.89987995548,GDP
189,8292,Sao Tome and Principe,STP,2014,0.334902362057,GDP
190,8339,Saudi Arabia,SAU,2014,746.248533333,GDP
191,8394,Senegal,SEN,2014,15.5789168654,GDP
192,8412,Serbia,SRB,2014,43.8664231669,GDP
193,8467,Seychelles,SYC,2014,1.40576415788,GDP
194,8522,Sierra Leone,SLE,2014,4.89236397923,GDP
195,8577,Singapore,SGP,2014,307.871907186,GDP
196,8602,Slovak Republic,SVK,2014,99.7901456528,GDP
197,8622,Slovenia,SVN,2014,49.4160556092,GDP
198,8669,Solomon Islands,SLB,2014,1.15818305376,GDP
199,8700,Somalia,SOM,1990,0.91704425399,GDP
200,8755,South Africa,ZAF,2014,349.817096206,GDP
201,8762,South Sudan,SSD,2014,13.0699912583,GDP
202,8817,Spain,ESP,2014,1404.30653606,GDP
203,8872,Sri Lanka,LKA,2014,74.941183242,GDP
204,8927,St. Kitts and Nevis,KNA,2014,0.833333333333,GDP
205,8963,St. Lucia,LCA,2014,1.36542655556,GDP
206,9018,St. Vincent and the Grenadines,VCT,2014,0.728696703704,GDP
207,9073,Sudan,SDN,2014,73.8153761846,GDP
208,9127,Suriname,SUR,2013,5.29878787879,GDP
209,9182,Swaziland,SWZ,2014,3.40042293623,GDP
210,9237,Sweden,SWE,2014,570.59126616,GDP
211,9281,Switzerland,CHE,2013,685.434208917,GDP
212,9329,Syrian Arab Republic,SYR,2007,40.4050060072,GDP
213,9354,Tajikistan,TJK,2014,9.24162784061,GDP
214,9381,Tanzania,TZA,2014,49.1838848175,GDP
215,9436,Thailand,THA,2014,373.804134912,GDP
216,9451,Timor-Leste,TLS,2014,1.552,GDP
217,9506,Togo,TGO,2014,4.51844390745,GDP
218,9546,Tonga,TON,2014,0.434386307693,GDP
219,9600,Trinidad and Tobago,TTO,2013,24.4338127004,GDP
220,9649,Tunisia,TUN,2013,46.9948040357,GDP
221,9704,Turkey,TUR,2014,799.534963354,GDP
222,9732,Turkmenistan,TKM,2014,47.9319298246,GDP
223,9756,Tuvalu,TUV,2013,0.0383223595289,GDP
224,9811,Uganda,UGA,2014,26.3123993014,GDP
225,9839,Ukraine,UKR,2014,131.805126738,GDP
226,9879,United Arab Emirates,ARE,2014,401.646583173,GDP
227,9934,United Kingdom,GBR,2014,2941.88553746,GDP
228,9989,United States,USA,2014,17419.0,GDP
229,10044,Uruguay,URY,2014,57.4712773251,GDP
230,10069,Uzbekistan,UZB,2014,62.6439530218,GDP
231,10104,Vanuatu,VUT,2013,0.801787555861,GDP
232,10159,"Venezuela, RB",VEN,2014,509.964084931,GDP
233,10189,Vietnam,VNM,2014,186.204652922,GDP
234,10223,Virgin Islands (U.S.),VIR,1993,1.996,GDP
235,10244,West Bank and Gaza,PSE,2014,12.737613125,GDP
236,10268,"Yemen, Rep.",YEM,2013,35.9545023035,GDP
237,10323,Zambia,ZMB,2014,27.0662300091,GDP
238,10378,Zimbabwe,ZWE,2014,13.6633142797,GDP
