Retailer name,value,GLA,Lease end,group,breakdown,Branch level 2
Maroc,736342,2296,31/12/22,group,Promotion,Afrique
AlgÃ©rie,516446,82,14/09/15,group,Promotion,Afrique
France,1.4,222,29/01/21,group,Sales,Europe
Allemagne,4.3,592,26/10/19,group,Sales,Europe
Autriche,1.2,225,30/06/17,group,Sales,Europe
UK,1.5,285,31/08/18,group,Sales,Europe
Suisse,1.8,68,31/07/18,group,Sales,Europe
Suède,6.9,270,30/09/14,group,Sales,Europe
USA,0.9,31,30/06/19,group,Sales,Amérique du Sud
Canada,2,56,21/05/22,group,Sales,Amérique du Sud
Mexique,6.5,2069,14/06/21,group,Sales,Amérique du Sud
Costa Rica,21.4,116,04/03/22,group,Sales,Amérique du Sud
Chine,21.1,227,30/06/21,group,Sales,Asie
Japon,12.1,225,31/12/21,group,Sales,Asie
Corée du Sud,13.3,380,09/03/23,group,Sales,Asie
Malaysie,1.3,129,20/10/23,group,Sales,Asie
Inde,8,252,31/05/18,group,Sales,Asie
Thaïlande,8.7,1263,05/06/18,group,Sales,Asie
Birmanie,15.8,287,31/12/17,group,Sales,Asie
Boutan,6,1313,15/05/21,group,Sales,Asie
Mongolie,3.5,59,16/02/20,group,Sales,Asie
Brésil,13.7,423,31/12/23,group,Sales,Amérique du Sud
Argentine,9.5,235,28/02/19,group,Sales,Amérique du Sud
Bolivie,2.2,62,18/08/21,group,Sales,Amérique du Sud
Peru,2.7,132,14/10/19,group,Sales,Amérique du Sud
Chili,12.4,221,31/12/14,group,Sales,Amérique du Sud
Uruguay,0.9,38,31/12/17,group,Sales,Amérique du Sud
Paraguay,2.4,62,30/09/18,group,Sales,Amérique du Sud
Afrique du Sud,6.3,256,19/03/18,group,Sales,Afrique
Togo,16.4,309,28/02/24,group,Sales,Afrique
Maroc,19.8,2296,31/12/22,group,Sales,Afrique
AlgÃ©rie,0.8,82,14/09/15,group,Sales,Afrique
Guin_e,1.6,126,14/07/23,group,Sales,Afrique
